sample	sizeFactor
Control_10314111	0.777990157435096
Control_10317082	0.705961182499629
Control_10324116	0.632023184223064
Control_10334619	1.23712597727544
Control_10335852	0.760336731479273
Control_10338316	0.58048586417305
Control_10339215	0.436393485158022
Control_10339998	0.687874364867583
BOAS_severe_10341251	0.993653887181244
Control_10506620	0.713962107879522
BOAS_mild_10509147	1.35959444988658
BOAS_severe_10511642	1.49694979584514
BOAS_mild_10516670	1.06116157416066
Control_10526659	1.02347327809428
BOAS_severe_10527154	1.50068658836548
Control_10531707	0.664690619944548
Control_10534541	1.31341324788133
BOAS_mild_10534983	1.43188263063642
BOAS_mild_10535209	0.934429274967098
Control_10535695	0.982959605429837
BOAS_severe_10536398	1.22429915700066
BOAS_severe_10536556	0.890944907432804
BOAS_mild_10536826	1.03294479390667
BOAS_severe_10536902	0.784697080076813
BOAS_severe_10537010	1.67476063832541
BOAS_mild_10537769	1.93796206639448
BOAS_severe_10538146	1.03398707921193
BOAS_severe_10538239	0.718193142927838
BOAS_mild_10538347	1.03008210295208
BOAS_mild_10538507	1.50357437509178
BOAS_severe_10539019	0.8859564850774
BOAS_mild_10539157	1.4399437420693
BOAS_severe_10539285	1.16190390658784
Control_10539336	1.89746277208565
BOAS_severe_10539371	0.751881751845079
BOAS_mild_10539382	0.727007839041413
BOAS_mild_10539885	2.61332354612886
BOAS_mild_10540539	1.59307612464776
BOAS_severe_10541950	1.07351834977544
Control_10543018	0.509699415562283
BOAS_severe_10543025	0.773119129400672
BOAS_mild_10543865	1.05210411583896
BOAS_severe_10544803	0.667130270413988
BOAS_mild_10546601	0.679369672546016
BOAS_mild_10547058	1.21003148450882
