task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	61/68fa08	36342333	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:VALIDATOR (samplesheet.csv)	COMPLETED	0	2023-11-23 11:56:56.837	1m 49s	33s	94.4%	539.6 MB	713.5 MB	73.5 MB	140.4 KB
2	83/aa04bd	36342502	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:CUSTOM_MATRIXFILTER ([id:study])	COMPLETED	0	2023-11-23 11:58:47.481	1m 23s	0ms	81.3%	16.5 MB	97.5 MB	6 MB	69.1 KB
6	bd/92f559	36342541	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_DIFFERENTIAL ([id:phenotype_BOAS_mild_vs_BOAS_severe, variable:phenotype, reference:BOAS_mild, target:BOAS_severe, blocking:])	COMPLETED	0	2023-11-23 12:00:13.553	1m 17s	20s	195.9%	711.1 MB	1.7 GB	38.8 MB	1.1 MB
5	97/939d54	36342539	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_DIFFERENTIAL ([id:phenotype_Control_BOAS_mild, variable:phenotype, reference:Control, target:BOAS_mild, blocking:])	COMPLETED	0	2023-11-23 12:00:11.820	1m 29s	23s	181.8%	712.9 MB	1.7 GB	38.8 MB	1.1 MB
7	5c/25ce9b	36342540	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_DIFFERENTIAL ([id:phenotype_Control_BOAS_mild_severe, variable:phenotype2, reference:Control, target:BOAS, blocking:])	COMPLETED	0	2023-11-23 12:00:12.697	1m 28s	22s	198.9%	721.1 MB	1.7 GB	38.8 MB	1.1 MB
4	01/865e13	36342542	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_DIFFERENTIAL ([id:phenotype_Control_BOAS_severe, variable:phenotype, reference:Control, target:BOAS_severe, blocking:])	COMPLETED	0	2023-11-23 12:00:14.351	1m 27s	22s	178.2%	716.6 MB	1.7 GB	38.8 MB	1.1 MB
3	ab/bf3b3b	36342543	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_NORM ([id:phenotype_Control_BOAS_severe, variable:phenotype, reference:Control, target:BOAS_severe, blocking:])	COMPLETED	0	2023-11-23 12:00:15.019	1m 36s	34s	168.1%	721.1 MB	1.7 GB	38.8 MB	1.1 MB
8	a4/c6f923	36342604	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:SHINYNGS_APP (study)	COMPLETED	0	2023-11-23 12:01:51.312	1m 29s	14s	91.4%	568.3 MB	736.7 MB	74.1 MB	173.3 KB
9	ed/851b01	36342610	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:PLOT_DIFFERENTIAL (phenotype_BOAS_mild_vs_BOAS_severe)	COMPLETED	0	2023-11-23 12:01:52.622	1m 33s	15s	91.7%	581 MB	751.3 MB	74 MB	39.4 KB
11	2c/c09a55	36342615	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:PLOT_DIFFERENTIAL (phenotype_Control_BOAS_mild_severe)	COMPLETED	0	2023-11-23 12:01:53.975	1m 32s	12s	95.2%	595.3 MB	784.9 MB	74 MB	41.5 KB
12	6a/1897f5	36342617	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:PLOT_DIFFERENTIAL (phenotype_Control_BOAS_severe)	COMPLETED	0	2023-11-23 12:01:54.580	1m 31s	12s	95.6%	593.2 MB	777.4 MB	74 MB	41.9 KB
10	f9/a8b0b2	36342620	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:PLOT_DIFFERENTIAL (phenotype_Control_BOAS_mild)	COMPLETED	0	2023-11-23 12:01:55.300	1m 31s	15s	91.2%	590.7 MB	774.6 MB	74 MB	99.1 KB
14	8b/80bf61	36342609	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:PLOT_EXPLORATORY (phenotype2)	COMPLETED	0	2023-11-23 12:01:51.964	4m 4s	2m 47s	98.5%	1.9 GB	2.2 GB	74.6 MB	450.2 KB
13	5f/3cab02	36342612	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:PLOT_EXPLORATORY (phenotype)	COMPLETED	0	2023-11-23 12:01:53.257	8m 47s	7m 19s	97.7%	2.3 GB	2.6 GB	74.6 MB	498.2 KB
15	50/a3ea62	36342921	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2023-11-23 12:11:14.037	1m 49s	102ms	71.3%	9.2 MB	19.9 MB	1 MB	2.8 KB
16	97/e8669f	36342957	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:RMARKDOWNNOTEBOOK (study)	COMPLETED	0	2023-11-23 12:13:04.781	1m 53s	34s	69.9%	1.4 GB	17.3 GB	72.5 MB	17.8 MB
17	69/9bfff7	36342962	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:MAKE_REPORT_BUNDLE (study)	COMPLETED	0	2023-11-23 12:14:58.943	44.3s	1s	74.0%	493 MB	577 MB	896 KB	353.5 KB
